name,description,eatery,calories,proteins
Daal maang masoor,"A protein-packed lentil preparation, staple in many desi households. (Daal maang masoor)",PDC,327,13
Daal mash fry,"A protein-packed lentil preparation, staple in many desi households. (Daal mash fry)",PDC,319,11
Dall Channa Fry,A traditional dish made with regional ingredients and spices. (Dall Channa Fry),PDC,414,25
Dall Maang Sabat,A traditional dish made with regional ingredients and spices. (Dall Maang Sabat),PDC,310,21
Dall Mong Masoor,A traditional dish made with regional ingredients and spices. (Dall Mong Masoor),PDC,250,10
Dall Qalandri,A traditional dish made with regional ingredients and spices. (Dall Qalandri),PDC,414,20
Egg Fried Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Egg Fried Rice),PDC,419,16
Garlic Chicken,"A flavorful chicken-based dish, seasoned with local spices. (Garlic Chicken)",PDC,422,34
Garlic Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Garlic Rice),PDC,528,13
Grilled Chi with Mushroom Sauce,A traditional dish made with regional ingredients and spices. (Grilled Chi with Mushroom Sauce),PDC,343,22
Grilled Chicken with Torgion Herb Rice,"A flavorful chicken-based dish, seasoned with local spices. (Grilled Chicken with Torgion Herb Rice)",PDC,427,28
Grilled Vegetable,A delicious vegetarian dish combining seasonal vegetables with spices. (Grilled Vegetable),PDC,383,9
Halwa Kaddu,A traditional dish made with regional ingredients and spices. (Halwa Kaddu),PDC,271,19
Hara Masala Chicken,"A flavorful chicken-based dish, seasoned with local spices. (Hara Masala Chicken)",PDC,378,28
Healthy Counter,A traditional dish made with regional ingredients and spices. (Healthy Counter),PDC,320,16
Herbi Baingan,A traditional dish made with regional ingredients and spices. (Herbi Baingan),PDC,442,24
Kabab Masala,A traditional dish made with regional ingredients and spices. (Kabab Masala),PDC,387,24
Kabli Pulao,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Kabli Pulao),PDC,353,19
Kari Phulki,A traditional dish made with regional ingredients and spices. (Kari Phulki),PDC,383,12
Kofta Pulao,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Kofta Pulao),PDC,529,14
Masalah Fried Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Masalah Fried Rice),PDC,529,20
Matar Pulao,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Matar Pulao),PDC,544,16
Mince Macaroni,A fusion pasta dish with South Asian flavors and herbs. (Mince Macaroni),PDC,387,19
Mix Vegetable,A delicious vegetarian dish combining seasonal vegetables with spices. (Mix Vegetable),PDC,343,8
Mix veg pulao,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Mix veg pulao),PDC,377,12
Paytala Chicken,"A flavorful chicken-based dish, seasoned with local spices. (Paytala Chicken)",PDC,406,29
Peanut Chicken,"A flavorful chicken-based dish, seasoned with local spices. (Peanut Chicken)",PDC,393,33
Pesto Pasta,A fusion pasta dish with South Asian flavors and herbs. (Pesto Pasta),PDC,394,20
Potato Kebab,A grilled or fried meat-based dish often served with chutney or rice. (Potato Kebab),PDC,328,26
Rice with Vegetable,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Rice with Vegetable),PDC,365,11
Sabat Masoor,A traditional dish made with regional ingredients and spices. (Sabat Masoor),PDC,368,22
Shammi Kebab,A grilled or fried meat-based dish often served with chutney or rice. (Shammi Kebab),PDC,277,21
Shelgum,A traditional dish made with regional ingredients and spices. (Shelgum),PDC,297,22
Sheljum dish,A traditional dish made with regional ingredients and spices. (Sheljum dish),PDC,312,21
Steamed Dall,A traditional dish made with regional ingredients and spices. (Steamed Dall),PDC,335,14
Steamed Vegetable,A delicious vegetarian dish combining seasonal vegetables with spices. (Steamed Vegetable),PDC,205,10
Stuff Bell Pepper,A traditional dish made with regional ingredients and spices. (Stuff Bell Pepper),PDC,362,17
Sweet/Sour Chicken,"A flavorful chicken-based dish, seasoned with local spices. (Sweet/Sour Chicken)",PDC,359,25
Tawa Chicken,"A flavorful chicken-based dish, seasoned with local spices. (Tawa Chicken)",PDC,422,26
Vegetable Fried Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Vegetable Fried Rice),PDC,442,12
Vegetable Pulao,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Vegetable Pulao),PDC,548,15
Vegetable/Lite Curry,A delicious vegetarian dish combining seasonal vegetables with spices. (Vegetable/Lite Curry),PDC,320,11
Virgin Egg Plant,A traditional dish made with regional ingredients and spices. (Virgin Egg Plant),PDC,443,19
White Lobia,A traditional dish made with regional ingredients and spices. (White Lobia),PDC,384,24
White Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (White Rice),PDC,438,10
White rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (White rice),PDC,437,20
Yakhni Pulao,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Yakhni Pulao),PDC,415,16
Zeera Pulao,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Zeera Pulao),PDC,522,19
